#Points:1    p    U:0    U:1
-0.5    0.0803249    0    0
-0.495    0.0803244    0.0172672    -1.07477E-05
-0.49    0.0803239    0.0278099    -1.83485E-05
-0.485    0.0803233    0.0336483    -2.44878E-05
-0.48    0.0803226    0.0415203    -3.60192E-05
-0.475    0.0803215    0.0543693    -5.86206E-05
-0.47    0.0803204    0.0672155    -8.28099E-05
-0.465    0.0803198    0.0750777    -9.98985E-05
-0.46    0.0803192    0.082938    -0.000120811
-0.455    0.0803185    0.0937795    -0.000152281
-0.45    0.0803175    0.108597    -0.000196975
-0.445    0.0803165    0.12341    -0.000248887
-0.44    0.0803159    0.134248    -0.000287952
-0.435    0.0803154    0.142103    -0.000317821
-0.43    0.080315    0.149958    -0.000350324
-0.425    0.0803143    0.162789    -0.000405262
-0.42    0.0803136    0.175623    -0.000460984
-0.415    0.0803132    0.183484    -0.000496229
-0.41    0.0803129    0.191358    -0.000533274
-0.405    0.0803124    0.202228    -0.000585476
-0.4    0.0803118    0.217092    -0.000657485
-0.395    0.0803111    0.23198    -0.000732002
-0.39    0.0803107    0.242878    -0.000786843
-0.385    0.0803104    0.250784    -0.000827006
-0.38    0.0803101    0.2587    -0.000867647
-0.375    0.0803096    0.271639    -0.000934085
-0.37    0.0803092    0.284583    -0.00100055
-0.365    0.0803089    0.292517    -0.00104127
-0.36    0.0803087    0.300468    -0.00108167
-0.355    0.0803083    0.311448    -0.00113696
-0.35    0.0803078    0.326462    -0.00121215
-0.345    0.0803073    0.341501    -0.00128526
-0.34    0.0803069    0.352507    -0.00133834
-0.335    0.0803067    0.360489    -0.00137614
-0.33    0.0803064    0.368473    -0.0014124
-0.325    0.080306    0.381513    -0.00147005
-0.32    0.0803056    0.394553    -0.00152704
-0.315    0.0803054    0.402538    -0.00156097
-0.31    0.0803051    0.410522    -0.00159269
-0.305    0.0803047    0.421529    -0.00163467
-0.3    0.0803043    0.436568    -0.00169084
-0.295    0.0803037    0.451567    -0.0017411
-0.29    0.0803034    0.462533    -0.00177688
-0.285    0.0803031    0.470467    -0.00180127
