#y+    u_mean+    t_mean+
0    -5.59108E-14    -9.15022E-07
0.0356959    0.0354572    0.0253535
0.142767    0.141761    0.101361
0.321162    0.318705    0.228053
0.570795    0.565935    0.405249
0.891549    0.882907    0.632939
1.28327    1.26879    0.910822
1.74577    1.72227    1.23855
2.27884    2.24119    1.6152
2.88221    2.8221    2.03938
3.5556    3.45963    2.50864
4.29869    4.14602    3.01907
5.11113    4.87086    3.56531
5.99252    5.62135    4.14012
6.94246    6.38304    4.735
7.96048    7.14096    5.34039
9.04611    7.881    5.94638
10.1988    8.59101    6.54364
11.4181    9.26166    7.124
12.7033    9.88667    7.68086
14.0538    10.4628    8.20957
15.4691    10.9896    8.70734
16.9484    11.4682    9.17313
18.491    11.9016    9.60726
20.0962    12.2931    10.011
21.7632    12.6465    10.3861
23.4913    12.9654    10.7346
25.2796    13.2529    11.0584
27.1272    13.5124    11.3596
29.0333    13.747    11.6403
30.997    13.9598    11.9027
33.0173    14.1541    12.1498
35.0933    14.3331    12.3842
37.224    14.4996    12.6084
39.4084    14.6565    12.825
41.6454    14.8057    13.0355
43.934    14.9489    13.2411
46.273    15.0862    13.4425
48.6615    15.218    13.6401
51.0981    15.3443    13.8344
53.5819    15.4653    14.0264
56.1115    15.5817    14.2165
58.6858    15.6941    14.4056
61.3036    15.8028    14.5939
63.9635    15.9085    14.7821
66.6645    16.0115    14.9701
69.4051    16.1119    15.1582
72.184    16.2098    15.3461
75    16.3057    15.534
77.8517    16.3996    15.7223
80.7377    16.4917    15.9111
83.6567    16.5822    16.1009
86.6073    16.6712    16.2923
89.588    16.7588    16.4858
92.5975    16.845    16.6821
95.6343    16.9293    16.8822
98.697    17.0115    17.0869
101.784    17.0913    17.2965
104.894    17.1681    17.5106
108.026    17.2415    17.7293
111.177    17.3114    17.9529
114.347    17.3772    18.1816
117.534    17.4387    18.4151
120.736    17.4954    18.6528
123.953    17.5474    18.8942
127.181    17.5945    19.1396
130.421    17.6364    19.3893
133.67    17.6726    19.6435
136.927    17.7031    19.9017
140.19    17.7271    20.1634
143.457    17.7446    20.4276
146.728    17.7553    20.6932
150    17.7589    20.9596
