# y+      u+ (Ke)        u+ (SA)       u+ (R)      T+ (Ke)       T+ (SA)        T+ (R)
#0.0     0.0000000     0.0000000     0.0000000     0.0000000    0.0000000     0.0000000
0.0356959 0 0 0 0 0 0
1.5     2.3880720     1.3454462     1.3088978     1.0650000    1.0650000     1.0650000
3.0     4.2166472     2.6648184     2.5694840     1.9299962    2.1286927     2.1137433
4.5     5.7098496     3.9556024     4.0061728     2.6605026    3.1841060     3.2966986
6.0     6.8230064     5.2000720     5.4287104     3.2264254    4.2168597     4.4819223
7.5     7.6787360     6.3703960     6.7034128     3.6749025    5.2077803     5.5745208
9.0     8.3686944     7.4391992     7.7412992     4.0450825    6.1346440     6.5015282
10.5    8.9467200     8.3882872     8.5584968     4.3609340    6.9813277     7.2621885
12.0    9.4448240     9.2129936     9.2178120     4.6379032    7.7386804     7.8969542
13.5    9.8832224     9.9204928     9.7681888     4.8855776    8.4075736     8.4413632
15.0    10.2753064    10.5248448    10.2419120    5.1103488    8.9949795     8.9207455
16.5    10.6304392    11.0423288    10.6600488    5.3167442    9.5104849     9.3521140
18.0    10.9553544    11.4884336    11.0366896    5.5079595    9.9658552     9.7479446
19.5    11.2550984    11.8765200    11.3815624    5.6869242    10.3698056    10.1165548
21.0    11.5335168    12.2175624    11.7014768    5.8555026    10.7323588    10.4636155
22.5    11.7936040    12.5202856    12.0014336    6.0150263    11.0596154    10.7932854
24.0    12.0377920    12.7915904    12.2850960    6.1665604    11.3581117    11.1104792
25.5    12.2679960    13.0369488    12.5551848    6.3111703    11.6326412    11.4163312
27.0    12.4858424    13.2606320    12.8138128    6.4499212    11.8871256    11.7134878
28.5    12.6926384    13.4660144    13.0625608    6.5833458    12.1241796    12.0034611
30.0    12.8895240    13.6558624    13.3025840    6.7119767    12.3464178    12.2870075
31.5    13.0774264    13.8323344    13.5347640    6.8366129    12.5564546    12.5656390
33.0    13.2571664    13.9972240    13.7597088    6.9575206    12.7555974    12.8393557
34.5    13.4294736    14.1519904    13.9777984    7.0746999    12.9451534    13.1081576
36.0    13.5949104    14.2978344    14.1892760    7.1886834    13.1268658    13.3728009
37.5    13.7540392    14.4357744    14.3942024    7.2997374    13.3002987    13.6329073
39.0    13.9073008    14.5666312    14.5925016    7.4086609    13.4676309    13.8888552
40.5    14.0551360    14.6911496    14.7839608    7.5146549    13.6292983    14.1391321
42.0    14.1979096    14.8099072    14.9683672    7.6187847    13.7861723    14.3841161
43.5    14.3359408    14.9234512    15.1453408    7.7207839    13.9373813    14.6234292
45.0    14.4695032    15.0322072    15.3144560    7.8209190    14.0851043    14.8555591
46.5    14.5989008    15.1366008    15.4755760    7.9194561    14.2289055    15.0805059
48.0    14.7243312    15.2369360    15.6283360    8.0161290    14.3692205    15.2971353
49.5    14.8460376    15.3336080    15.7722800    8.1117367    14.5060495    15.5050692
51.0    14.9641872    15.4266320    15.9075600    8.2057464    14.6406997    15.7039297
52.5    15.0789776    15.5166160    16.0335680    8.2984246    14.7722995    15.8925825
54.0    15.1905760    15.6034080    16.1509120    8.3900375    14.9008490    16.0710277
55.5    15.2991040    15.6874640    16.2595920    8.4805851    15.0280912    16.2396432
57.0    15.4047440    15.7687840    16.3597600    8.5698012    15.1527189    16.3976731
58.5    15.5074960    15.8475200    16.4517200    8.6584846    15.2756035    16.5454952
60.0    15.6075120    15.9238240    16.5359280    8.7461028    15.3967451    16.6838658
61.5    15.7050960    15.9980000    16.6126880    8.8329220    15.5165794    16.8124068
63.0    15.7999440    16.0698960    16.6829120    8.9189422    15.6346706    16.9318743
64.5    15.8926640    16.1398160    16.7467520    9.0041635    15.7514546    17.0430245
66.0    15.9828000    16.2076080    16.8048160    9.0885859    15.8664955    17.1462354
67.5    16.0708080    16.2735760    16.8577120    9.1727419    15.9806649    17.2415069
69.0    16.1565360    16.3377200    16.9057440    9.2560990    16.0939628    17.3307295
70.5    16.2402880    16.4001920    16.9495200    9.3389235    16.2059534    17.4131470
72.0    16.3217600    16.4608400    16.9893440    9.4212153    16.3170724    17.4898935
73.5    16.4014080    16.5199680    17.0258240    9.5029745    16.4273200    17.5613472
75.0    16.4789280    16.5775760    17.0589600    9.5842011    16.5371318    17.6278860
76.5    16.5546240    16.6335120    17.0892080    9.6654276    16.6456363    17.6902662
78.0    16.6283440    16.6879280    17.1170240    9.7458552    16.7537050    17.7488658
79.5    16.7002400    16.7409760    17.1425600    9.8262828    16.8613380    17.8033067
81.0    16.7701600    16.7926560    17.1661200    9.9061778    16.9680994    17.8547231
82.5    16.8385600    16.8431200    17.1877040    9.9855401    17.0739894    17.9031150
84.0    16.9049840    16.8920640    17.2074640    10.0649025    17.1798793    17.9484824
85.5    16.9698880    16.9396400    17.2258560    10.1437322    17.2853335    17.9919595
87.0    17.0328160    16.9860000    17.2428800    10.2222956    17.3903519    18.0327902
88.5    17.0942240    17.0312960    17.2583840    10.3005926    17.4944988    18.0717306
90.0    17.1539600    17.0752240    17.2729760    10.3786234    17.5990814    18.1084026
91.5    17.2118720    17.1180880    17.2865040    10.4566542    17.7027926    18.1435623
93.0    17.2682640    17.1594320    17.2991200    10.5344186    17.8065037    18.1768317
94.5    17.3231360    17.1998640    17.3105200    10.6116504    17.9097791    18.2089670
96.0    17.3761840    17.2392320    17.3213120    10.6886159    18.0130544    18.2395900
97.5    17.4275600    17.2772320    17.3314960    10.7655814    18.1163298    18.2690788
99.0    17.4774160    17.3143200    17.3407680    10.8422806    18.2191694    18.2970554
100.5    17.5259040    17.3501920    17.3495840    10.9189797    18.3220090    18.3242758
102.0    17.5727200    17.3850000    17.3577920    10.9951463    18.4248486    18.3503621
103.5    17.6178640    17.4187440    17.3653920    11.0713128    18.5276882    18.3749361
105.0    17.6613360    17.4514240    17.3725360    11.1469467    18.6305278    18.3995101
106.5    17.7034400    17.4830400    17.3790720    11.2225806    18.7333674    18.4225719
108.0    17.7440240    17.5134400    17.3853040    11.2979482    18.8357713    18.4452556
109.5    17.7829360    17.5429280    17.3910800    11.3730495    18.9386109    18.4675612
111.0    17.8203280    17.5713520    17.3965520    11.4481508    19.0414505    18.4887327
112.5    17.8562000    17.5987120    17.4015680    11.5227194    19.1447259    18.5091480
114.0    17.8907040    17.6250080    17.4062800    11.5972881    19.2480012    18.5291853
115.5    17.9236880    17.6503920    17.4105360    11.6713241    19.3512766    18.5484665
117.0    17.9548480    17.6745600    17.4146400    11.7453601    19.4545520    18.5677476
118.5    17.9847920    17.6979680    17.4184400    11.8188635    19.5578273    18.5862726
120.0    18.0132160    17.7200080    17.4219360    11.8923668    19.6615385    18.6044196
121.5    18.0401200    17.7411360    17.4251280    11.9656039    19.7652496    18.6221885
123.0    18.0655040    17.7612000    17.4283200    12.0385746    19.8693965    18.6392013
124.5    18.0893680    17.7803520    17.4310560    12.1112791    19.9735434    18.6562141
126.0    18.1120160    17.7984400    17.4336400    12.1837172    20.0785618    18.6728488
127.5    18.1331440    17.8153120    17.4359200    12.2558890    20.1831444    18.6891054
129.0    18.1527520    17.8312720    17.4382000    12.3277944    20.2881628    18.7046060
130.5    18.1709920    17.8461680    17.4403280    12.3996999    20.3936170    18.7204846
132.0    18.1878640    17.8598480    17.4421520    12.4710728    20.4995070    18.7356070
133.5    18.2032160    17.8726160    17.4436720    12.5421793    20.6049611    18.7507295
135.0    18.2173520    17.8841680    17.4450400    12.6132858    20.7112868    18.7654739
136.5    18.2299680    17.8948080    17.4464080    12.6843923    20.8176125    18.7798403
138.0    18.2413680    17.9042320    17.4476240    12.7546999    20.9243740    18.7942066
139.5    18.2512480    17.9127440    17.4486880    12.8255401    21.0315712    18.8085729
141.0    18.2599120    17.9200400    17.4494480    12.8958477    21.1392042    18.8225612
142.5    18.2672080    17.9262720    17.4502080    12.9658890    21.2468372    18.8361715
144.0    18.2731360    17.9312880    17.4506640    13.0359302    21.3549059    18.8501597
145.5    18.2776960    17.9352400    17.4512720    13.1059715    21.4629746    18.8637700
147.0    18.2810400    17.9381280    17.4515760    13.1760128    21.5714791    18.8770021
148.5    18.2830160    17.9398000    17.4515760    13.2457877    21.6795479    18.8902343
150.0    18.2836240    17.9404080    17.4517280    13.3158290    21.7880524    18.9030884
